tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
235,0.0023295448429420437,7.490628760535392e-06,0.00015617586126019092,0.9975067886670372,0.015571707078525667,6.239569805085348e-05,0.001283742129165421,0.9830821550942581,0.5309658637208702,0.11521316834159598,0.11477930618894046,0.2390416617485934,0.6239853614387518,0.1687256631319307,0.1658708726032476,0.04141810282606985
236,0.0021264261089492926,8.529037116184613e-06,0.00018821059056964876,0.9976768342633648,0.014227034663823341,7.111076017897801e-05,0.0015484845789149873,0.9841533699970827,0.4901528538223322,0.14160806064392722,0.14113880905353293,0.22710027648020759,0.5610342041911369,0.20198401566881036,0.19865659434376837,0.03832518579628442
237,0.001959254139118847,9.298591881198297e-06,0.00021502665103876437,0.9978164206179613,0.013118444300361897,7.758539451781917e-05,0.0017704456019157929,0.9850335247032045,0.45482597851755757,0.16405846476052438,0.16357557205646103,0.217539984665457,0.5096145638315207,0.2290690605856657,0.22537915676164522,0.03593721882116836
238,0.0018186007050497292,9.890673798505049e-06,0.00023790025862539026,0.9979336083625263,0.012184391034040948,8.257785075385848e-05,0.001960018276478667,0.9857730128387264,0.42404748581431967,0.1833641087328167,0.18288128797228514,0.20970711748057855,0.46683024146022906,0.25155331485627275,0.24757825335665895,0.03403819032683925
239,0.001698220493629703,1.0359696604526192e-05,0.00025769852616929753,0.9980337212835965,0.011384013382405259,8.654053589686898e-05,0.00212428111603183,0.9864051649656661,0.39704522260527436,0.2001300516148484,0.1996560341548087,0.20316869162506843,0.4306770879402325,0.27051747419119426,0.2663133679528039,0.032492069915769306
240,0.0015937737836090923,1.0740017372943755e-05,0.0002750379995354082,0.9981204481994825,0.010688861254388771,8.975961234356289e-05,0.002268277554117219,0.9869531015791504,0.37319477185382,0.21481940119847687,0.21435973797466112,0.19762608897304207,0.3997253506083278,0.2867285022254012,0.28233719271926194,0.0312089544470091
241,0.0015021295978140461,1.1054364646895254e-05,0.0002903727240980945,0.9981964433134409,0.010078373031766442,9.242469692988935e-05,0.0023957283815692313,0.9874334738897345,0.35199296492298066,0.22779120904376737,0.22734937435844724,0.19286645167480473,0.37292817768243003,0.300745680504976,0.2961990848863555,0.030127056926238575
242,0.001420959699456269,1.1318357767509856e-05,0.000304046533030803,0.9982636754097455,0.009537235225498854,9.466629369646207e-05,0.0025094556372358794,0.9878586428435687,0.3330332020972304,0.23932742970278734,0.23890551877536365,0.18873384942461865,0.349501716740812,0.3129864096351634,0.3083093502460251,0.029202523377999525
243,0.001348489310212917,1.1543073883352105e-05,0.00031632578509241204,0.9983236418308113,0.00905375850859461,9.657708593081384e-05,0.0026116485081537485,0.988238015897321,0.31598508107253315,0.24965219369310698,0.24925137472141792,0.1851113505129419,0.3288475172452028,0.3237685042535878,0.3189806105106009,0.02840336799060861
244,0.0012833371772542164,1.1736581971336728e-05,0.0003274207542200628,0.9983775054865545,0.008618834164784655,9.822467682270578e-05,0.0027040373561986117,0.988578903802194,0.3005782710216186,0.2589456985768856,0.2585665119237576,0.18190951847773826,0.3105008286739679,0.3333382155087435,0.328455237909975,0.027705717907313535
