tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
354,0.0028778659006863604,4.5279513328900306e-05,7.334832700370314e-05,0.9970035062589809,0.01918324911311188,0.00037115224955927345,0.000601229884497409,0.9798443687528314,0.6088839482971679,0.04708456180433921,0.04704513758001525,0.2969863523184777,0.7923821064159129,0.07534898408655205,0.07528589386892287,0.056983015628612195
355,0.0026788349275440352,6.323592252170636e-05,0.00010293090463695232,0.9971549982452974,0.017870635065754557,0.0005187482274204997,0.0008443812029290639,0.9807662355038959,0.5728410805616994,0.06640696638077472,0.06635692898777028,0.29439502406975576,0.7348774143898462,0.10475942825161805,0.10468049242653775,0.05568266493199804
356,0.002505279354752959,7.886130087309028e-05,0.00012889574263033826,0.9972869636017436,0.016724324207150563,0.0006473737549464214,0.0010581073350222018,0.9815701947028809,0.5407619470308509,0.08354135721966917,0.08348468910203953,0.29221200664744035,0.68517075554744,0.13016462011808239,0.13007632631667007,0.05458829801780753
357,0.0023526664781345712,9.257614197949072e-05,0.00015185398863675614,0.9974029033912492,0.015715022710836794,0.0007604181252225637,0.0012473248817423427,0.9822772342821984,0.5120410183636269,0.09883582632180067,0.09877547117542557,0.2903476841391468,0.6417747551431778,0.15233195234029107,0.15223892921676127,0.05365436329976981
358,0.002217460923489424,0.00010470709330038212,0.00017229029039225486,0.9975055416928179,0.014819816744965904,0.0008605214399014901,0.0014159450338676143,0.9829037167812651,0.48618620515680916,0.11256936050884012,0.11250750104108379,0.2887369332932668,0.6035578891310222,0.17184433955047013,0.17174990711047508,0.05284786420803273
359,0.0020968702947751173,0.00011551126781142058,0.00019059270831132808,0.9975970257291021,0.014020562951767688,0.0009497667654368898,0.0015671078979431774,0.9834625623848522,0.46279478660151224,0.12496785425900159,0.12490611146417999,0.28733124767530616,0.569644080621865,0.18915253993374428,0.18905908544873,0.05214429399566079
360,0.0019886628530363976,0.00012519354339007643,0.00020707496544395478,0.9976790686381295,0.013302729186761423,0.001029817466743518,0.0017033579413520971,0.983964095405143,0.44153468207684904,0.13621597858350398,0.13615555569255197,0.2860937836470951,0.5393444449380383,0.20461062206090425,0.2045198605699766,0.05152507243108098
361,0.001802515871457025,0.00014182217751460322,0.00023555764565915264,0.9978201043053693,0.012066408299801832,0.0011674594424154457,0.001939076119668327,0.9848270561381144,0.40435003522778473,0.1558448618343974,0.15578951368764002,0.28401558925017784,0.48749700299016907,0.23104984775754295,0.23096779063527767,0.050485358617010416
362,0.0017218919005005343,0.0001490135190355763,0.0002479436400146236,0.9978811509404494,0.011530365179260064,0.0012270480890842223,0.0020416856916713345,0.9852009010399844,0.3880002535218142,0.16445858913584335,0.16440658097319186,0.28313457636915046,0.4651444184708532,0.24244380893144624,0.2423671388279569,0.05004463376974373
363,0.0016481558463242068,0.0001555847309121059,0.0002592972800891235,0.9979369621426746,0.011039817073708543,0.0012815315681273573,0.002135798596788377,0.9855428527613758,0.3729157964964964,0.17239695497827182,0.1723486259285153,0.28233862259671655,0.44475408129489774,0.2528351705203088,0.25276429175369824,0.04964645643109508
364,0.0015804638351373343,0.00016161245938760475,0.0002697417586991697,0.9979881819467759,0.01058922569965379,0.001331536927853973,0.0022224221700060808,0.9858568152024861,0.35895601519133397,0.17973621862035555,0.179691803550458,0.2816159626378524,0.4260782319970495,0.2623508319503294,0.26228600177515266,0.04928493427746847
365,0.001518103917614799,0.0001671612673615692,0.0002793815455034398,0.9980353532695201,0.010173913174825787,0.001377592960115769,0.0023024116552031212,0.9861460822098553,0.3460002240803524,0.18654160574206932,0.18650125955517433,0.28095691062240397,0.4089091671534788,0.27109712462717084,0.27103849033369304,0.04895521788565732
366,0.0014604713713122282,0.00017228591621447107,0.0002883057886544797,0.9980789369238189,0.00978990193779244,0.0014201486452685484,0.0023764976509806513,0.9864134517659584,0.33394430172467654,0.1928692226572831,0.19283303883302252,0.28035343678501795,0.39307145281276834,0.27916381864566236,0.27911144525806525,0.04865328328350393
367,0.0014070493290501765,0.0001770331474951652,0.0002965910008439824,0.9981193265226107,0.009433788977093575,0.0014595875771460474,0.002445307822011198,0.9866613156237493,0.3226979832013923,0.19876760219695455,0.19873562701110467,0.27979878759054844,0.37841589248940527,0.2866272312395904,0.2865811223220041,0.048375753949000413
368,0.0013573934314492382,0.00018144309528421104,0.0003043032096532307,0.9981568602636134,0.009102646030184226,0.001496239415583879,0.002509384310594205,0.9868917302436377,0.3121826317764897,0.20427893111396278,0.20425117461394104,0.27928726249560637,0.36481479399619055,0.2935526561788761,0.29351276956764716,0.04811978025728626
369,0.0013111195949629104,0.00018555041455673056,0.00031149969120651354,0.9981918302992738,0.008793939931021014,0.001530389048709967,0.0025691977958541973,0.9871064732244148,0.30232942761509285,0.20944004700909455,0.20941649152454841,0.27881403385126413,0.3521582263383133,0.2999962847530333,0.2999625445111344,0.047882944397519056
370,0.0012678941328425689,0.0001893851756721431,0.0003182303557978027,0.9982244903356874,0.008505468192183473,0.00156228386461111,0.002625158745017277,0.9873070891981881,0.2930779058330627,0.21428326898199967,0.21426387574125247,0.2783749494436852,0.34035103703362196,0.30600674214458695,0.30597904767059053,0.047663173151200486
