tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_camphor,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_camphor,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
71,0.00022831024579350598,0.0002940366179005018,1.4040018191153051e-05,0.9994636131181149,0.0015429903749731887,0.0024436441761569237,0.00011824334559293228,0.9958951221032769,0.05174283952725007,0.4014810612804931,0.40157102784588145,0.14520507134637536,0.04848144017908973,0.46258234287107347,0.46887691383507163,0.02005930311476506
72,0.00022174692222823132,0.0002946814724599734,1.4050708588688453e-05,0.9994695208967231,0.001498682917730355,0.00244908422723308,0.00011833728645707233,0.9959338955685795,0.05024028186207348,0.40234048955901763,0.40241983113702956,0.14499939744187929,0.047047947589751136,0.4633200440567617,0.4696120294721132,0.02001997888137394
73,0.00021555068110490404,0.0002952903203607457,1.4060764538540576e-05,0.9994750982339958,0.0014568508622543259,0.002454220844759547,0.00011842567118271687,0.9959705026218034,0.04882254075605238,0.40315126745666907,0.4032205423803991,0.14480564940687948,0.04569681897489831,0.4640153586438167,0.47030485863793664,0.019982963743348448
74,0.00020969154122511173,0.00029586609415771135,1.4070240642442795e-05,0.9994803721239748,0.0014172922447179624,0.002459078716787872,0.00011850897653650732,0.9960051200619576,0.04748263077558144,0.4039174134797206,0.4039771373938925,0.1446228183508054,0.044421151883628426,0.46467183897825287,0.4709589491388244,0.019948059999294297
75,0.00020414270691032082,0.00029641142564991023,1.407918610506671e-05,0.9994853666813346,0.0013798265381231617,0.00246368000072995,0.00011858763207641804,0.9960379058290705,0.04621431307735235,0.40464251454657685,0.40469316463109756,0.14445000774497319,0.043214794377150076,0.46529265099848227,0.4715774624690687,0.019915092155299012
76,0.00019888014574820297,0.0002969286646744921,1.4087644007134095e-05,0.9994901035455702,0.001344291813513002,0.0024680444837615824,0.00011866201427486331,0.9960690016884505,0.04501199843511176,0.4053297839639364,0.40537180264794137,0.14428641495301048,0.04207224572207356,0.46588062564292176,0.4721632252560611,0.019883903378943645
77,0.0001938822478596802,0.00029741992855297203,1.4095653133970024e-05,0.9994946021704534,0.0013105424489488898,0.0024721899965051823,0.00011873246208585034,0.99609853509246,0.0438706647023573,0.4059821078319018,0.4060159060742706,0.14413132139147034,0.040988572409117824,0.4664383018678718,0.47271877230264275,0.01985435342036766
78,0.00018912952625868305,0.0002978871269931845,1.4103248269271747e-05,0.9994988800984789,0.0012784471144122315,0.0024761326228190054,0.00011879927958407865,0.9961266209831846,0.04278578669314364,0.40660208589497737,0.40662804608794983,0.14398408132392906,0.039959336863916936,0.4669679633906096,0.4732463833446299,0.01982631640084347
79,0.00018460436221577826,0.0002983319868071001,1.411046068851676e-05,0.9995029531902886,0.0012478870591025224,0.00247988690758984,0.00011886274025798585,0.9961533632930496,0.04175327619197745,0.40719206621994924,0.4072105447668834,0.1438441128211898,0.03898053664469558,0.4674716699869332,0.4737481143560481,0.019799679012323324
80,0.00018029078656541664,0.0002987560734619203,1.4117318600272142e-05,0.9995068358213723,0.0012187546402788042,0.002483466037893703,0.00011892309084487176,0.9961788562309826,0.04076943044711086,0.4077541749310492,0.40776550454103866,0.14371089008080118,0.03804855237269384,0.46795128428924154,0.47422582434981797,0.019774338988246543
81,0.00017617429094665525,0.00029916080944095147,1.412384750804843e-05,0.9995105410521044,0.001190952053287288,0.002486881997388562,0.00011898055448129621,0.9962031853948429,0.03983088778393742,0.4082903418441327,0.4082948335798208,0.143583936792109,0.037160102966533354,0.4684084948284534,0.4746811984187008,0.019750203786312284
82,0.0024768758144459425,8.032446149786224e-05,6.598469523151729e-06,0.9974362012545331,0.01655182604667778,0.0006600673289553851,5.494853516913174e-05,0.9827331580891977,0.5592022536257175,0.09615299120472574,0.09680770475824667,0.24783705041131002,0.6700088658490649,0.14166845880712622,0.14454157519662894,0.04378110014717992
83,0.0019977858715274194,0.00012432220380650125,9.04534667038384e-06,0.9978688465779957,0.01338231596472877,0.001024070311561344,7.55055337105827e-05,0.9855181081899993,0.4626017613958018,0.15804899929672114,0.15886810491088948,0.2204811343965876,0.5212792649979591,0.21900480943274375,0.22308537847359453,0.03663054709570264
84,0.0016858153700583325,0.00015350069439055622,1.0323476344103194e-05,0.998150360459207,0.011310210503672877,0.0012663966614382485,8.630935462186181e-05,0.9873370834802669,0.3934626785074989,0.20076899761298236,0.2016075453781587,0.20416077850136002,0.4268959563478054,0.2678637109903382,0.2725815786028645,0.032658754058991796
