tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_geraniol,phase2_w_water4C_aparicio2007
82,0.0024875296528261903,6.331197546107501e-06,1.6355356726732292e-05,0.997489783792901,0.01662967762074789,5.274395006789521e-05,0.0001380612284262174,0.983179517200758,0.5628540544200081,0.09746162960048518,0.09737194481214033,0.24231237116736629,0.6676936175152364,0.1440742336067859,0.1458516742993148,0.04238047457866298
83,0.0020209733056007293,8.6027760179792e-06,2.4364755539078406e-05,0.9979460591628422,0.013545632016422214,7.185360054529438e-05,0.00020620391337825957,0.9861763104696543,0.4658880753192928,0.1600620132430549,0.15994905806152454,0.21410085337612775,0.5182971860574077,0.2218997203127216,0.22468552361849414,0.03511757001137658
84,0.0017143773474683748,9.79520148919691e-06,2.9478367985059943e-05,0.9982463490830573,0.011510288586387894,8.195291205196389e-05,0.00024990755030326666,0.9881578509512569,0.3961472825277195,0.20307889762105139,0.20296263605253578,0.1978111837986933,0.4238419820380884,0.2707592555461796,0.27419500198458857,0.03120376043114347
85,0.0014928096495799201,1.0535528440121217e-05,3.310934051530903e-05,0.9984635454814647,0.0100350879340932,8.82560113140662e-05,0.0002810369527182899,0.9895956191018745,0.34419852016777297,0.23436707418935748,0.23425470857736086,0.18717969706550874,0.3586732487509891,0.3043391402471426,0.3082296871142553,0.028757923887613158
86,0.0013237270689484008,1.1041443544511495e-05,3.584614931553586e-05,0.9986293853381915,0.008906882181945554,9.258152651767599e-05,0.00030455512764835686,0.9906959811638885,0.3041626869741202,0.2581285074203724,0.25802267113277677,0.1796861344727308,0.3109650720687398,0.3288613753599207,0.3330885398828089,0.02708501268853053
87,0.0011898943011197849,1.1409541576964478e-05,3.799229929937503e-05,0.9987607038580039,0.008012370337469021,9.573969697899187e-05,0.0003230311150616805,0.9915688588504904,0.2724157295762771,0.2767832339366711,0.2766847173378574,0.17411631914919443,0.27451086612122483,0.347566861372524,0.35205351086667924,0.025868761639571986
88,0.0010810844361244629,1.1689546277971161e-05,3.972443766369015e-05,0.9988675015799339,0.007284119554056505,9.814910148287034e-05,0.0003379647123029396,0.9922797666321576,0.24664502409042832,0.2918170799700683,0.2917258895951986,0.1698120063443048,0.2457384456737101,0.362311967547369,0.36700490637025357,0.02494468040866751
89,0.00099076151618591,1.190975615992909e-05,4.115377230578708e-05,0.9989561749553483,0.006678925451546239,0.00010004872537784049,0.0003503025235709287,0.9928707232995051,0.22531682770519776,0.3041911880632359,0.3041069982020095,0.16638498602955681,0.22244522898669147,0.3742375142077653,0.37909846888857957,0.02421878791696374
90,0.0009145211134179939,1.208749471765716e-05,4.235433904866451e-05,0.9990310370528157,0.006167612059007158,0.00010158529195993702,0.00036067610414616515,0.9933701265448868,0.20737756372537514,0.31455437035528255,0.3144767267906035,0.1635913391287389,0.2031985961342093,0.3840837046835573,0.38908419909769254,0.023633500084540876
91,0.0008492733191128555,1.2233972452921753e-05,4.3377557437737085e-05,0.9990951151509965,0.0057296743312147385,0.00010285399831076705,0.00036952489269685386,0.9937979467777778,0.19208094842231557,0.32336030571806235,0.32328872025869604,0.16127002560092604,0.18702611818633172,0.39235202519363044,0.39747028779197396,0.023151568828063896
92,0.000792780157160406,1.2356769389919959e-05,4.426035541193422e-05,0.9991506027180377,0.005350237866407736,0.000103919364994821,0.0003771649830634514,0.9941686777855341,0.17888414748615752,0.3309357272839298,0.33086972151447497,0.15931040371543773,0.17324430857607973,0.3993944257547847,0.40461343111985587,0.022747834549279682
93,0.0007433778401236287,1.2461196595159573e-05,4.502998811309514e-05,0.9991991309751681,0.005018229753770959,0.00010482669691878007,0.00038382999584874334,0.9944931135534615,0.1673831281269535,0.33752191052137,0.3374610350786903,0.15763392627298625,0.16135860759868717,0.40546526154013707,0.41077144016146694,0.022404690699708792
94,0.0006998021203724907,1.2551086669558671e-05,4.570703548650786e-05,0.9992419397574714,0.0047252262859815795,0.00010560875164896038,0.00038969654924283495,0.9947794684131266,0.15727108398557618,0.3433008976033465,0.3432447394346826,0.15618327897639464,0.1510022538981541,0.4107529695382468,0.41613532916003615,0.022109447403562948
95,0.0006610742982844821,1.2629275875719935e-05,4.630734444287537e-05,0.9992799890813969,0.004464699652324508,0.0001062898145461586,0.0003949007885830078,0.9950341097445463,0.14831091062341065,0.34841262475884804,0.34836080847711676,0.1549156561406244,0.14189746654324534,0.41540014783502976,0.42084965797631596,0.021852727645408965
96,0.0006264243812736378,1.2697907181039086e-05,4.684332007011836e-05,0.9993140343914751,0.004231509396065238,0.00010688826515819682,0.0003995493919660064,0.9952620529468105,0.1403165086198747,0.3529664344266762,0.3529186208555171,0.1537984360979319,0.13382997701216737,0.41951671041818733,0.42502586066351994,0.021627451906125392
97,0.0005952379910593965,1.2758630668703496e-05,4.732481897146528e-05,0.9993446785593005,0.0040215505873378715,0.00010741827725654191,0.0004037271944804601,0.9954673039409251,0.13313978592231332,0.357049004106839,0.3570048875845468,0.1528063223863009,0.12663184146438913,0.4231887534265458,0.42875122964812795,0.021428175460937112
98,0.0005670187556562435,1.2812737383776456e-05,4.775977409545726e-05,0.9993724087328644,0.0038315043117631725,0.00010789095619610043,0.0004075025273591455,0.9956531022046816,0.12666143652143474,0.36072993161330796,0.3606892368685746,0.1519193949966828,0.12016955230398121,0.4264846814726357,0.4320951240598541,0.021250642163529083
99,0.0005413611607279086,1.2861251946547234e-05,4.8154644026676315e-05,0.9993976229432988,0.0036586573607192284,0.00010831512709564406,0.0004109310612990632,0.9958220964508862,0.12078427620776502,0.36406574589517504,0.36402822490040304,0.15112175299665684,0.11433563478163711,0.42945953400814274,0.43511335434168735,0.021091476868532744
100,0.000517930596604579,1.2904997908414285e-05,4.8514741505338024e-05,0.9994206496639817,0.003500769583893949,0.00010869789185506208,0.00041405861947009254,0.995976473904781,0.11542834590591045,0.3671028380297195,0.3670682670272314,0.1504005490371387,0.10904259158081428,0.4321581003196169,0.4378513394016074,0.020947968697961415
101,0.0004964484610757102,1.2944644756177842e-05,4.884447752473098e-05,0.9994417624166434,0.0033559747652532387,0.00010904503031629648,0.0004169232695426902,0.9961180569348878,0.11052725946415716,0.3698796371441022,0.369847813928674,0.14974528946306662,0.10421846362835416,0.4346172014921441,0.44034641960691345,0.020817915272588163
102,0.00047668087863997783,1.2980742317712573e-05,4.914754538458851e-05,0.9994611908336577,0.0032227055018289948,0.0001093612942804329,0.00041955690242493206,0.9962483763014657,0.10602544224819795,0.3724282488468478,0.3723989903293982,0.14914731857555602,0.09980352500943288,0.4368673883065471,0.44262957787175616,0.020699508812263692
