tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
347,0.0015998007742625722,0.00015582940940358386,3.1467357156085836e-05,0.9982129024591777,0.010736524640211942,0.001286014841819154,0.00026665776858785504,0.987710802749381,0.3650899586684122,0.18290270191535518,0.18297177367276293,0.2690355657434698,0.42417424764011596,0.2613143529893295,0.2684260474445287,0.046085351926025926
348,0.0015334708680031102,0.000161571169487878,3.251943466131909e-05,0.9982724385278477,0.01029477045451986,0.0013338400076586892,0.0002756641393166563,0.9880957253985048,0.3509811457128636,0.19044590130859743,0.1905097683960415,0.26806318458249745,0.4056416278608959,0.27066312614146615,0.2780174958701693,0.045677750127468594
349,0.001472460655437538,0.00016684706800892415,3.348063873005224e-05,0.9983272116378236,0.009888188518353398,0.0013778132323117994,0.0002838983849189261,0.9884500998644159,0.33791398298658565,0.19742023443577564,0.19747876641775497,0.2671870161598837,0.3886619708941201,0.2792262746480005,0.2868021743634994,0.04530958009438009
350,0.0014161497947865326,0.00017171196472918866,3.436236675718832e-05,0.9983777758737271,0.00951270526998247,0.0014183850288059252,0.0002914567145828748,0.9887774529866287,0.32577833628811015,0.20388745788271861,0.20394059658221772,0.2663936092469534,0.37304783377384404,0.28709892476436083,0.29487785275396083,0.04497538870783433
351,0.0013640116252749423,0.00017621236569300685,3.5174168079635285e-05,0.9984246018409524,0.009164858418429987,0.0014559377402778902,0.0002984198252072373,0.9890807840160849,0.3144788824164212,0.20990075054306073,0.20994849162560647,0.2656718754149116,0.3586407794545797,0.29436143226419276,0.30232710803277485,0.04467068024845278
352,0.0013155959666594733,0.0001803879705867655,3.592410845600172e-05,0.9984680919542979,0.008841685362790213,0.0014907980948860866,0.00030485594621669455,0.989362660596107,0.3039327306953996,0.21550613782499625,0.21554851692484286,0.2650126145547613,0.34530597370381044,0.30108214191463484,0.3092201647897892,0.04439171959176556
353,0.0012705155949134493,0.00018427288014060772,3.6619048947438824e-05,0.9985085924759985,0.00854063533081672,0.0015232470157416722,0.0003108231718903831,0.9896252944815512,0.2940674924619673,0.2207436512778797,0.2207807334947479,0.26440812276540515,0.3329279485168392,0.3073195522948553,0.31561712313266765,0.044135376055637825
354,0.0012284355608433053,0.0001878965638522474,3.726486666827468e-05,0.9985464030086361,0.008259499900464389,0.0015535274949289276,0.0003163713099144286,0.9898706012946923,0.2848196834784074,0.2256482647782161,0.22568013668685588,0.2638519150565206,0.32140724450422525,0.31312402708896275,0.321569719554962,0.043899008851849934
355,0.0011890645405277687,0.00019128461263372623,3.786662290713848e-05,0.9985817842239314,0.007996356652531124,0.0015818507237756684,0.0003215432903553734,0.9901002493333378,0.27613341869069963,0.23025067178748626,0.23027743534250059,0.26333847417931355,0.310657730858859,0.3185391637071423,0.32712273497735,0.04368037045664866
356,0.0011521479518236527,0.00019445936836482843,3.842870318052677e-05,0.9986149639766311,0.007749524288735645,0.0016084012280202654,0.0003263763410250815,0.990315698142219,0.26795931285181745,0.23457791402984807,0.2345996819006096,0.2628630912177249,0.30060444366668365,0.323602892172976,0.3323151251146018,0.043477539045738506
